"","unix","app","event","rEvent","time","duration","rDuration"
"3309",1571235625992,"Settings",2,"Move to background",2019-10-16 14:20:25,8.785,9S
"3310",1571235634777,"Settings",1,"Move to foreground",2019-10-16 14:20:34,0.991,1S
"3312",1571235635576,"System UI",12,"Notifiation interuption",2019-10-16 14:20:35,0,0S
"3313",1571235635768,"Settings",2,"Move to background",2019-10-16 14:20:35,0.009,0S
"3314",1571235635777,"Settings",1,"Move to foreground",2019-10-16 14:20:35,0.442,0S
"3315",1571235636219,"Settings",2,"Move to background",2019-10-16 14:20:36,0.287,0S
"3317",1571235636963,"Google",11,"Standby bucket changed",2019-10-16 14:20:36,0,0S
"3321",1571235636966,"Print Spooler",11,"Standby bucket changed",2019-10-16 14:20:36,0,0S
"3356",1571235773479,"WhatsApp",11,"Standby bucket changed",2019-10-16 14:22:53,0,0S
"3374",1571236217482,"System UI",11,"Standby bucket changed",2019-10-16 14:30:17,0,0S
"3375",1571236218561,"WhatsApp",12,"Notifiation interuption",2019-10-16 14:30:18,0,0S
"3376",1571236219055,"WhatsApp",12,"Notifiation interuption",2019-10-16 14:30:19,0,0S
"3377",1571236219061,"WhatsApp",12,"Notifiation interuption",2019-10-16 14:30:19,0,0S
"3378",1571236219263,"WhatsApp",10,"Notification seen",2019-10-16 14:30:19,0.752,1S
"3379",1571236220015,"WhatsApp",10,"Notification seen",2019-10-16 14:30:20,5.902,6S
"3380",1571236223113,"WhatsApp",12,"Notifiation interuption",2019-10-16 14:30:23,0,0S
"3381",1571236223126,"WhatsApp",12,"Notifiation interuption",2019-10-16 14:30:23,0,0S
"3383",1571236225921,"WhatsApp",7,"User interaction",2019-10-16 14:30:25,0.009,0S
"3384",1571236225930,"WhatsApp",1,"Move to foreground",2019-10-16 14:30:25,27.313,27S
"3386",1571236236972,"Print Spooler",11,"Standby bucket changed",2019-10-16 14:30:36,0,0S
"3390",1571236253243,"WhatsApp",2,"Move to background",2019-10-16 14:30:53,0.017,0S
"3400",1571236261982,"WhatsApp",1,"Move to foreground",2019-10-16 14:31:01,7.731,8S
"3402",1571236269713,"WhatsApp",2,"Move to background",2019-10-16 14:31:09,0.112,0S
"3415",1571236292228,"Settings",1,"Move to foreground",2019-10-16 14:31:32,2.627,3S
"3416",1571236294855,"Settings",2,"Move to background",2019-10-16 14:31:34,0.015,0S
"3419",1571236295876,"Settings",1,"Move to foreground",2019-10-16 14:31:35,3.687,4S
"3420",1571236299563,"Settings",2,"Move to background",2019-10-16 14:31:39,0.017,0S
"3421",1571236299580,"Settings",1,"Move to foreground",2019-10-16 14:31:39,1.489,1S
"3422",1571236301069,"Settings",2,"Move to background",2019-10-16 14:31:41,0.015,0S
"3423",1571236301084,"Settings",1,"Move to foreground",2019-10-16 14:31:41,0.772,1S
"3424",1571236301856,"Settings",2,"Move to background",2019-10-16 14:31:41,0,0S
